location;code;pzn;atcid;atctext;askid;asktext
A;A10BJ05;TRULICITY 075MG INJEKTIONSLÖSUNG IN EINEM FERTIGPEN;;;;
A;A12CB;UNIZINK;;;;
A;B05BA03;GLUCOSTERIL 10 GLAS 500ML;;;;
A;B05BB01;ISOTONISCHE KOCHSALZLÖSUNG 09 GLAS 250ML;;;;
A;C03CA04;TOREM 200 INFUSIONSLÖSUNG;;;;
A;N05CD08;DORMICUM 75MG;;;;
A;V06DB;NUTRISON ENERGY SMARTPACK 500ML;;;;
A;L03AA14;LONQUEX 6MG INJEKTIONSLÖSUNG;;;;
A;C01AA05;LANICOR;;;;
A;B05XA03;KOCHSALZLÖSUNG 10 PLASTIK 10ML;;;;
A;A02BA01;H2BLOCKERRATIOPHARM 200MG2ML INJEKTIONSLÖSUNG;;;;
A;B01AC04;PLAVIX 75MG;;;;
A;C01CA03;ARTERENOL 1MGML INJEKTIONSLÖSUNG 25ML;;;;
A;B01AF01;XARELTO 10MG;;;;
A;R03AC02;SALBUTAMOLRATIOPHARM FERTIGINHALAT;;;;
A;S01AA11;GENTAMICINPOS 5MGG;;;;
A;J01EE01;COTRIMRATIOPHARM AMPULLEN 400MG5ML80MG5ML;;;;
A;B01AC09;EPOPROSTENOL  ROTEXMEDICA 05MG;;;;
A;V03AB25;FLUMAZENIL KABI 01MGML 5ML;;;;
A;B05BA10;AMINOMIX 1 NOVUM DOPPELKAMMERBEUTEL 1L;;;;
A;C04AD03;PENTOXIFYLLIN1A PHARMA 600MG;;;;
A;V06DB;NUTRINIDRINK MULTI FIBRE ERDBEERE;;;;
A;L02BB03;BICALUTAMID WINTHROP 50MG;;;;
A;L01XX52;VENCLYXTO 10MG;;;;
A;G03DA04;UTROGEST 100MG;;;;
A;C08CA05;NIFEDIPIN AL 10;;;;
A;A03BB01;BUSCOPAN;;;;
A;N06AA09;AMINEURIN 100MG;;;;
A;B02BB01;HAEMOCOMPLETTAN P 20MGML 1G;;;;
A;N05CC01;CHLORALDURAT 500MG;;;;
A;A07DA03;IMODIUM LINGUAL;;;;
A;M01AB05;VOLTAREN 100MG;;;;
A;N02AA01;MORPHIN MERCK 2;;;;
A;L04AD02;ENVARSUS 4MG;;;;
A;V06DB;FRESUBIN ENERGY FIBRE EASYBAG 500ML;;;;
A;A10BD07;JANUMET 50MG1000MG;;;;
A;J01FA09;CLARITHROMYCIN EBERTH 500MG;;;;
A;A09AA02;KREON 10000;;;;
A;V07AB;GLUCOSTERIL 5 GLAS 100ML;;;;
A;J01MA12;LEVOFLOXACIN KABI 5MGML 500MG KABIPAC;;;;
A;J02AC04;NOXAFIL 300MG;;;;
A;V07AB;AMPUWA GLASINJEKTIONSFLASCHE 100ML;;;;
A;B05BB02;ELEKTROLYTINFUSIONSLÖSUNG 148 MIT GLUCOSE 1 PÄD 250ML;;;;
A;C03CC01;REOMAX AMP 50MG IMPORT;;;;
A;V03AF03;LEUCOVORIN 15MG;;;;
A;N02AE01;TRANSTEC PRO 35 MIKROGRAMMH;;;;
A;N07AA03;UBRETID 5MG;;;;
A;G02CX01;TRACTOCILE 375MG5ML KONZENTRAT;;;;
A;V03AF03;CALCIUMFOLINATGRY 15MG;;;;
A;D07AC01;SODERM 122MGG;;;;
A;B01AC11;VENTAVIS 10 MIKROGRAMMML LÖSUNG FÜR VERNEBLER 2ML;;;;
A;L04AB02;REMICADE 100MG INFUSIONSLÖSUNGSKONZENTRAT;;;;
A;J02AC01;FLUCONAZOL KABI 2MGML 200ML;;;;
A;N05AL01;SULPIRID STADA 50MG;;;;
A;B05AA01;HUMAN ALBUMIN 200GL BAXALTA 50ML;;;;
A;J01GB01;TOBRAZID INFECTOPHARM 80MG2ML INJEKTIONSINFUSIONSLÖSUNG;;;;
A;C08CA13;LERCANIDIPINOMNIAPHARM 20MG;;;;
A;N01AH01;FENTANYL PANPHARMA 05MG INJEKTIONSLÖSUNG;;;;
A;N01BB20;EMLA 25MGG  25MGG;;;;
A;R03BA05;FLUTIDE MITE 50UG;;;;
A;C07AB02;METOPROLOLTARTRATOMNIAPHARM 5MG5ML INJEKTIONSLÖSUNG;;;;
A;D06AX07;REFOBACIN;;;;
A;C05AD01;POSTERISAN AKUT 60MG;;;;
A;S01BA02;HYDROCORTISONPOS N 25;;;;
A;N02BB02;NOVAMINSULFONRATIOPHARM 1G2ML INJEKTIONSLÖSUNG;;;;
A;V06DB;NUTRISON ADVANCED DIASON SMARTPACK 1000 ML;;;;
A;A02BC02;PANTOPRAZOL WINTHROP 20MG;;;;
A;C09AA09;FOSINORM 20MG;;;;
A;A06AC01;MUCOFALK APFEL BEUTEL;;;;
A;D06AX;LEUKASE N;;;;
A;B03BB01;DREISAFOL 5MG;;;;
A;P01BC01;LIMPTAR N 200MG;;;;
A;C01CX08;LEVOSIMENDAN CARINOPHARM 125MG INFUSIONSLÖSUNGSKONZENTRAT;;;;
A;A10BJ05;TRULICITY 15MG INJEKTIONSLÖSUNG IN EINEM FERTIGPEN;;;;
A;J02AX04;CASPOFUNGIN INRESA 50MG INFUSIONSLÖSUNGSKONZENTRAT;;;;
A;A07BA01;KOHLEPULVIS;;;;
A;N02AA55;TARGIN 20MG10MG;;;;
A;A12BA30;KALINOR;;;;
A;D07AC01;SODERM 122MGG;;;;
A;J01FA09;CLARITHROMYCIN1A PHARMA 125MG5ML;;;;
A;B03XA02;ARANESP 10 MIKROGRAMM INJEKTIONSLÖSUNG;;;;
A;J01XX07;NITROXOLIN FORTE;;;;
A;B03BA01;B12 ANKERMANN 1000UG;;;;
A;N03AA03;LISKANTIN;;;;
A;C01DA02;NITROLINGUAL INFUS 1MGML 10ML;;;;
A;S01CA01;DEXAGENTOPHTAL 5MGG UND 03MGG;;;;
A;V03AX;PTABLETTEN WEI 8MM LICHTENSTEIN;;;;
A;H04AA01;GLUCAGEN;;;;
A;N03AX18;VIMPAT 100MG;;;;
A;C09CA03;VALSACOR 160MG;;;;
A;M02AB;FINALGON 4MGG  25MGG;;;;
A;V03AB37;PRAXBIND 25G50ML;;;;
A;B02BD06;HAEMATE P 250;;;;
A;C09AA03;LISINOPRIL STADA 25MG;;;;
A;M01AH05;ETORICOXIB PUREN 60MG;;;;
A;N04BA03;STALEVO 150MG375MG200MG;;;;
A;C07AA05;PROPRARATIOPHARM 10MG;;;;
A;C07AA07;SOTALEX MITE 80MG;;;;
A;H03CA;JODID 200UG HEXAL;;;;
A;A07DA03;IMODIUM N;;;;
A;J01CA08;PIVMELAM 400MG;;;;
A;A02AH;BICANORM;;;;
A;J01EE01;COTRIMOXAZOL AL;;;;
A;B05BA10;NUTRIFLEX OMEGA SPECIAL NOVO 125L EMULSION;;;;
A;C09AA02;ENALAPRILRATIOPHARM 20MG;;;;
A;D02AE01;BASODEXAN 100MGG;;;;
A;N05AD03;MELPERONNEURAXPHARM 25MG;;;;
A;A06AH01;RELISTOR 12MG06ML INJEKTIONSLÖSUNG;;;;
A;N06AA06;STANGYL 100MG TABS;;;;
A;N05CF01;ZOPICLON1A PHARMA 75MG;;;;
A;N02AB02;PETHIDINHAMELN 50MGML 2ML;;;;
A;L04AA04;THYMOGLOBULINE 5MGML 25MG INFUSIONSLÖSUNGSKONZENTRAT;;;;
A;V03AF03;CALCIUMFOLINAT KABI 10MGML INJEKTIONSLÖSUNG 1000MG;;;;
A;A01AB03;CHLORHEXAMED PRAXIS 1;;;;
A;N06AX21;CYMBALTA 30MG;;;;
A;L04AX03;METEX 75MG 50MGML INJEKTIONSLÖSUNG;;;;
A;R05CB01;ACC 200MG;;;;
A;B01AF03;LIXIANA 60MG;;;;
A;L04AD02;PROGRAF 5MGML;;;;
A;N05AX08;RISPERIDONRATIOPHARM 25MG DEPOTINJEKTIONSSUSPENSION;;;;
A;M02AA15;VOLTAREN EMULGEL 116;;;;
A;R05X;TRANSPULMIN ERKÄLTUNGSBALSAM;;;;
A;H02AB06;PREDNISOLON 1MG JENAPHARM;;;;
A;M03BX01;LIORESAL 25;;;;
A;S01BC10;NEVANAC 1MGML;;;;
A;V03AF01;MESNACELL 100MGML 5000MG;;;;
A;N01BB02;XYLOCAIN 2;;;;
A;M01AE01;DOLORMIN FÜR KINDER IBUPROFENSAFT 40MGML;;;;
A;B05XA02;NATRIUMHYDROGENCARBONAT 42 BBRAUN 250ML;;;;
A;S01EC01;DIAMOX INJFL 500MG IMPORT;;;;
A;R03CC03;BRICANYL 05MG;;;;
A;R03AL01;BERODUAL RESPIMAT 2050 MIKROGRAMMDOSIS;;;;
A;R03AL06;SPIOLTO RESPIMAT 25UG25UG PRO HUB WIEDERVERWENDBAR;;;;
A;S01AE01;FLOXAL 3MGG;;;;
A;B05XA07;CALCIUMCHLORID 55 BAXTER;;;;
A;H02AB06;KLISMACORT 100MG;;;;
A;A06AC01;MUCOFALK ORANGE BEUTEL;;;;
A;S01EA04;CLONIDOPHTAL 18 SINE AUGENTROPFEN;;;;
A;B01AB05;CLEXANE 4000 IE 40MG04ML INJEKTIONSLSG MSICHSYS;;;;
A;B05BB01;STEROFUNDIN ISO ECOFLAC PLUS 1L;;;;
A;A10BB12;AMARYL 3MG;;;;
A;V06DB;NUTRISON SMARTPACK 500ML;;;;
A;L01BB02;PURINETHOL;;;;
A;N05AH03;ZYPADHERA 300MG DEPOTINJEKTIONSSUSPENSION;;;;
A;B02BD01;BERIPLEX PN 1000;;;;
A;J05AH02;TAMIFLU 30MG;;;;
A;N06AB04;CIPRAMIL 20MG;;;;
A;S01EA04;CLONIDOPHTAL 18 SINE AUGENTROPFEN;;;;
A;L04AA33;ENTYVIO 300MG INFUSIONSLÖSUNGSKONZENTRAT;;;;
A;A10BX02;NOVONORM 05MG;;;;
A;S01EB01;PILOMANN 1;;;;
A;B02BD01;COFACT 500 IE;;;;
A;N02AX51;TILIDIN COMP STADA 150MG12MG;;;;
A;A05AA02;URSOFALK 250MG5ML SUSPENSION;;;;
A;G01AF02;VAGISAN MYKO KOMBI 3 TAGE;;;;
A;C09CA07;TELMISARTAN ABZ 80MG;;;;
A;J01DD01;CEFOTAXIM FRESENIUS 2G;;;;
A;B01AX05;ARIXTRA 25MG05ML INJEKTIONSLÖSUNG;;;;
A;J01CF05;FLUCLOXACILLIN KABI 2000MG;;;;
A;A10BB01;GLIBENCLAMID ABZ 35MG;;;;
A;J01FF01;CLINDASAAR 300MG;;;;
A;B03AC;FERINJECT 50MG EISENML 20ML;;;;
A;S01CA01;DEXAMYTREX;;;;
A;N02AA03;HYDROMORPHON HEXAL 10MGML 10MG;;;;
A;V07AB;RINGERINJEKTIONSLÖSUNG B BRAUN GLAS 100ML;;;;
A;N05AX13;XEPLION 150MG DEPOTINJEKTIONSSUSPENSION;;;;
A;N06DA03;EXELON 95MG24 STUNDEN;;;;
A;H03AA01;LTHYROXIN HENNING 50;;;;
A;J01DD04;CEFTRIAXON HEXAL 05G;;;;
A;A10AE05;LEVEMIR FLEXPEN 100 EINHEITENML;;;;
A;N03AX14;LEVETIRACETAM ZENTIVA 500MG;;;;
A;L04AD02;ADVAGRAF 1MG;;;;
A;L02BB03;BICALUTAMID1A PHARMA 50MG;;;;
A;G04BD12;BETMIGA 50MG;;;;
A;L04AX03;METEX 10MG;;;;
A;J01MA02;CIPROBAY SAFT 10 MIT LÖSUNGSMITTEL;;;;
A;N04BX02;COMTESS 200MG;;;;
A;R03AK07;SYMBICORT TURBOHALER 16045 MIKROGRAMMDOSIS;;;;
A;C08CA08;NITRENDIPIN ARISTO 10MG;;;;
A;M01AH05;ETORICOXIB PUREN 60MG;;;;
A;L01BB03;THIOGUANINASPEN 40MG;;;;
A;B02BD01;BERIPLEX PN 500;;;;
A;H02AB02;FORTECORTIN INJECT 4MG INJEKTIONSLÖSUNG;;;;
A;A02BA03;FAMOTIDIN STADA 40MG;;;;
A;N02BB02;NOVAMINSULFON LICHTENSTEIN 500MG;;;;
A;N05AH03;OLANZAPIN1A PHARMA 5MG;;;;
A;N03AG01;ORFIRIL 150;;;;
A;C01DA02;NITROLINGUAL AKUT SPRAY;;;;
A;A06AD65;MOVICOL FLÜSSIG ORANGE;;;;
A;G01AX14;GYNOPHILUS SCHEIDENKAPSELN;;;;
A;7283969;GLYCEROL 85 GLASFLASCHE 125ML 1X1;;;;
A;J01DD02;CEFTAZIDIM DR EBERTH 1G;;;;
A;N03AX14;LEVETIRACETAM DESITIN 750MG;;;;
A;V06DB;NUTRINIMAX MULTIFIBRE SMARTPACK;;;;
A;J06BA02;INTRATECT 100GL 100ML;;;;
A;H03AA01;LTHYROXIN HENNING 125;;;;
A;N05AL03;TIAPRID HEXAL 100MG;;;;
A;C01AA04;DIGIMERCK MINOR 007MG;;;;
A;A10BB01;GLIBENCLAMID STADA 35MG;;;;
A;L01AX03;TEMOZOCELL 140MG;;;;
A;L01AX03;TEMOZOCELL 140MG;;;;
B;;Rocephin 2 g. i.v. x1;;;;
B;;* Capillitium: Salicyl Kopfkappe;;;;
B;;Enalapril 5 mg TBL;;;;
B;;Dekristol (Colecalciferol) 20.000 I.E. TBL;;;;
B;;40 KCl + 2 AMp Calcium +2 Amp Magnesium in die Infusion;;;;
B;;Sortis (Atorvastatin Hemicalcium);;;;
B;;Sevikar HCT  40/5/12,5 mg;;;;
B;;Autologes peripheres Blutstammzellkonz. HAL, kryokonserviert;;;;
B;;Metformin/Vildagliptin 50/1000 mg;;;;
B;;Transtec pro Pflaster 35 æg/h (Buprenorphin) 20 mg PFL Di abend, Sa früh;;;;
B;;Ernäh. Nutrison Energy Multifibre (SN) 1,5 kcal/ml;;;;
B;;Pregabalin 200;;;;
B;;Vocado HCT 40mg/5mg/25mg Tabletten;;;;
B;;6IE Oxytocin in 500ml Jono-Steril;;;;
B;;L-Thyroxin (Levothyroxin) IV;;;;
B;;Valproat (Orfiril) 1000 mg;;;;
B;;Zinkorotat 25 (Zink) 15 mg TBL;;;;
B;;Midazolam (Prämed vor OP);;;;
B;;Decoderm Tri Creme;;;;
B;;Torem 25 mg TBL;;;;
B;;*Lagerung auf Metalline Folie;;;;
B;;Erythrozytenkonzentrat PAGGS-M, gefiltert, bestrahlt HAL (ZE);;;;
B;;Irenat Tropfen (Natriumperchlorat) 300 mg/ ml MG, 3*20 Tropfen;;;;
B;;NaCl 0,9% + 4gtt Salbutamol;;;;
B;;Metoprolol 95;;;;
B;;Dekristol (Colecalciferol) 1.000 I.E. ;;;;
B;;FERINJECT 50 mg Eisen/ml (Eisencarboxymaltose) 100 mg/ 2 ml INJ. bitte als Kurzinfusion;;;;
B;;Candesartan Zentiva comp 16mg/12,5 mg ;;;;
B;;Ketanest S (Esketamin) 50 mg auf 50 ml zur Sedierung;;;;
B;;Urbason solubile forte 500mg (Methylprednisolon) 250 mg IV;;;;
B;;Myopiridin 3 mg TBL;;;;
B;;Zodin Omega 3 1000mg;;;;
B;;CandidoHermal Plus Softpaste;;;;
B;;Otriven 0,05% (Xylometazolin HCl) 0,25 mg NTR;;;;
B;;Everolimus 5 mg;;;;
B;;*Mo-Po-CO GK außer Gesicht;;;;
B;;*Mo-Po-Co Unterarme  + Hände bds. ;;;;
B;;*Dermoxin Füße bds.;;;;
B;;Apidra (spritzt Patn. selbstständig);;;;
B;;L Thyrox 150;;;;
B;;Tracleer 125 mg;;;;
B;;Tamsulosin (Tamsulosin HCl) 0,4 mg ;;;;
B;;Palladon akut 1.3 mg ;;;;
B;;Ketanest S (Esketamin) 50 mg/ml 50 ml INJ;;;;
B;;Gastrografin 100ml über MS;;;;
B;;Kaliumchlorid 7,45% 30ml ad 30ml NaCl0,9%;;;;
B;;Fenistil vor 15 min Beginn Rituximab;;;;
B;;Nitrazepam 10 mg;;;;
B;;Gentamicin Ampullen (Gentamicin) 240;;;;
B;;Ramipril 10 mg ;;;;
B;;Kochsalz 0,9 %;;;;
B;;20 mVal KCL mit in die NaCl geben;;;;
B;;Zyklopentolat AT 2xR;;;;
B;;Tromcardin Complex ;;;;
B;;Systemth Erbitux load;;;;
B;;Smofkabiven zentral 2200 kcal 1970 ml ;;;;
B;;Salbuhexal 100;;;;
B;;Otriven (Xylometazolinhydrochlorid) 0,1 % Spray;;;;
B;;Bimatoprost Augentr.;;;;
B;;Systemtherapie Cis 40 laut Standard;;;;
B;;Exforge HCT (Amlodipin+Valsartan) 5+160 mg+25mg FTA;;;;
B;;Nasenöl;;;;
B;;Lixiana 60mg (Edoxaban) 60 mg FTA.;;;;
B;;Bipreterax 5/1,25;;;;
B;;Lercanidipin  10mg;;;;
B;;Metoprololsuccinat plus 95/12,5;;;;
B;;Timophthal 0.5% AT R/L;;;;
B;;Flutiform 125/5 Inh;;;;
B;;Magnesium Diasporal 150;;;;
B;;Rosuzet 10 /10;;;;
B;;Floxal AS z.N. L;;;;
B;;Arlevert (Cinnarizin+Dimenhydrinat) 20+40 mg;;;;